[1667200812.3639858] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200812.3736625] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200812.3868434] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200812.3998182] id 8e4f23fb-3677-45db-8144-467a8335fd6f, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps
[1667200812.4126415] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200812.4280097] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200812.447551] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200812.462954] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200814.697849] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200814.7158237] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200814.725245] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200814.739736] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200814.752599] id 8e4f23fb-3677-45db-8144-467a8335fd6f, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps_error
[1667200814.768448] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200814.7815175] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200814.7951639] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200814.8094351] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200816.6862292] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200816.71179] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200816.7211614] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200816.7357287] id 8e4f23fb-3677-45db-8144-467a8335fd6f, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200816.749495] id 8e4f23fb-3677-45db-8144-467a8335fd6f, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps_error
